id,date,cost,bedrooms,bathrooms,square,square_lot,floors,view,condition,grade,square_above,square_basement,lat,long
3629160060,20150227T000000,720000,4,2.75,3370,7634,1,2,5,8,2110,1260,47.5259,-122.204
4058800830,20150318T000000,612000,6,3,3840,14040,1.5,3,3,8,2460,1380,47.506,-122.241
2214800270,20140925T000000,355000,4,2.5,2770,7000,1,0,4,7,1940,830,47.3396,-122.256
1328330350,20150213T000000,390000,3,1.75,1320,7725,1,0,3,8,1320,0,47.4425,-122.133
8651580310,20140528T000000,621138,3,2.25,2180,7741,2,0,3,9,2180,0,47.6482,-122.072
8121500060,20140807T000000,715000,4,2.25,2460,40635,1,0,5,8,2460,0,47.6627,-122.032
3445000274,20150513T000000,170000,3,1,970,8710,1,0,4,6,970,0,47.4167,-122.302
7923500060,20140922T000000,713000,5,2.75,2580,9242,2,2,4,8,1720,860,47.5943,-122.133
2864600105,20140624T000000,819000,3,3.5,2130,6150,2,2,5,8,1530,600,47.6491,-122.405
1115300270,20150428T000000,900000,6,3.75,4210,6105,2,0,3,9,3280,930,47.5211,-122.157
3425059222,20141124T000000,1.3e+006,6,3.5,6563,32670,2,0,3,10,5153,1410,47.6078,-122.157
1239400570,20141117T000000,860000,3,1.75,2180,14135,1,2,5,8,1300,880,47.673,-122.187
1419700270,20140507T000000,503000,3,2.75,1540,6760,1,0,5,7,1210,330,47.7163,-122.212
7203000465,20141018T000000,245000,3,2,1450,9333,2,0,4,7,1450,0,47.346,-122.315
1138000160,20140908T000000,343000,3,1,1120,7250,1,0,4,7,1120,0,47.7143,-122.211
2483700160,20140917T000000,720000,3,1.5,1590,7080,1,2,3,8,1310,280,47.5244,-122.386
1231000520,20141118T000000,607010,4,2.5,2180,4000,2,0,3,8,1700,480,47.5553,-122.269
1545804460,20150401T000000,294000,3,1.75,1530,9362,1,0,3,7,1530,0,47.3643,-122.049
0934300140,20150323T000000,284950,4,1.5,2000,6778,1,0,4,7,1170,830,47.3708,-122.311
1939110310,20150310T000000,722080,3,3.25,3680,7650,2,0,3,9,2340,1340,47.6272,-122.033
2960900045,20140718T000000,605000,3,1.75,2330,6000,1.5,0,4,7,1630,700,47.5765,-122.378
3271801090,20150430T000000,1.175e+006,4,2,2590,7220,2,2,4,10,2590,0,47.647,-122.41
3013301525,20141013T000000,453500,2,1.5,1710,4189,1,1,5,7,1160,550,47.5286,-122.383
7177300575,20140903T000000,475000,4,1,1420,6000,1.5,0,3,7,1420,0,47.6844,-122.302
5315100737,20140528T000000,900000,6,2.75,2300,24773,1.5,0,4,9,2300,0,47.5833,-122.242
0194000575,20141014T000000,455000,4,1,1340,5800,1.5,2,3,7,1340,0,47.5658,-122.389
7805460310,20141113T000000,703770,4,2.25,2550,12918,2,0,3,9,2550,0,47.5623,-122.109
4137010240,20140716T000000,336000,3,2.25,2820,11625,2,0,3,8,2820,0,47.2621,-122.218
9407101840,20140620T000000,378000,4,2.5,1890,12236,1,0,3,7,1230,660,47.4491,-121.78
3295750550,20141124T000000,290000,3,2,1760,6600,1,0,3,7,1760,0,47.3836,-122.184
7454000295,20150130T000000,245000,2,1,710,6322,1,0,3,6,710,0,47.5165,-122.376
4213910030,20150401T000000,550000,4,2.5,1670,5116,2,0,3,8,1670,0,47.7667,-122.33
1338801019,20140701T000000,1.198e+006,4,3.5,3400,3850,2.5,0,3,10,2790,610,47.6258,-122.302
8651520240,20140728T000000,540000,4,2,1990,29078,2,0,3,9,1990,0,47.6471,-122.057
8143000310,20140909T000000,495000,4,2.5,2020,7200,1,0,5,7,1010,1010,47.7289,-122.201
8952900204,20141029T000000,810000,5,3.5,3550,9600,2,0,3,9,2550,1000,47.5484,-122.269
0646910030,20141104T000000,238000,3,2.5,1650,2807,2,0,3,7,1650,0,47.4328,-122.196
9276200890,20150429T000000,450000,2,1.75,1760,2275,1.5,0,3,6,1040,720,47.5803,-122.393
5379801600,20150424T000000,255000,2,1.5,1480,9660,1,0,3,7,1480,0,47.4577,-122.289
3649100473,20140528T000000,365000,3,1.5,1300,12240,1,0,3,7,1300,0,47.737,-122.243
0567000672,20140930T000000,342000,3,3,1260,1251,2,0,3,7,1040,220,47.5943,-122.296
7511210310,20140709T000000,720500,4,2.5,3350,35298,2,0,4,9,3350,0,47.6506,-122.036
5649600435,20150108T000000,349950,5,2,1880,4179,1,0,3,7,940,940,47.5536,-122.283
1785500132,20141118T000000,293000,3,1,1020,7650,1,0,3,7,1020,0,47.7198,-122.352
1821059264,20140626T000000,224000,4,1.5,1600,9289,1,0,4,7,1600,0,47.3107,-122.212
1702901557,20140911T000000,445000,5,3,2930,5500,1,0,3,7,1750,1180,47.5572,-122.281
3583300135,20140513T000000,460000,3,2.25,2350,10450,1,0,3,8,1390,960,47.7433,-122.259
8680100030,20140521T000000,374000,3,1.75,2000,9416,1,0,4,6,2000,0,47.697,-122.175
3356406510,20140530T000000,196440,3,2,1560,7352,1,0,3,6,1560,0,47.2804,-122.251
2822079012,20150410T000000,340000,3,1.75,1740,46580,1,0,4,7,1740,0,47.3583,-121.927
7625704005,20140506T000000,561000,3,2,2000,7000,2,0,3,7,2000,0,47.5452,-122.393
3121069036,20141208T000000,617000,3,1.75,3020,360241,2,0,3,8,3020,0,47.2662,-122.088
6159400060,20140805T000000,365000,3,1.5,1640,8301,1,0,3,7,1290,350,47.7443,-122.327
8581200350,20140617T000000,187500,3,1.5,1180,7000,1,0,4,7,1180,0,47.2966,-122.374
